,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1915,Minidoka,ID,0.711,0.17,6870.0,4887.0,1167.0,0.784,0.194,7993.0,6265.0,1550.0,42.85518524,-113.6357257,1260.0,9.0,20448.0,10304.0,10144.0,34.4,63.1,0.2,0.5,0.4,0.0,12501.0,48021.0,2578.0,21887.0,1567.0,17.9,27.4,21.8,14.6,21.2,20.9,21.6,86.0,9.9,0.1,1.1,0.4,2.5,17.2,9198.0,82.2,12.9,5.0,0.0,3.9
1916,Minnehaha,SD,0.537,0.391,78263.0,42043.0,30610.0,0.533,0.438,92326.0,49249.0,40482.0,43.67441641,-96.7910885,12667.0,111.0,183660.0,92360.0,91300.0,4.7,83.6,4.7,2.3,1.9,0.0,131308.0,57322.0,1477.0,29551.0,495.0,11.0,14.3,34.6,16.3,26.1,9.3,13.7,83.7,8.5,0.9,2.2,1.3,3.4,17.8,102646.0,86.4,9.0,4.6,0.1,3.4
1917,Missaukee,MI,0.738,0.214,7301.0,5386.0,1565.0,0.759,0.225,8755.0,6648.0,1967.0,44.33772443,-85.09256478,104.0,1.0,14982.0,7634.0,7348.0,2.7,94.4,0.4,0.6,0.2,0.0,11397.0,42370.0,1453.0,21805.0,672.0,15.9,22.3,24.7,16.8,20.1,17.3,21.1,76.8,12.7,0.2,4.2,1.4,4.7,21.4,6209.0,80.9,9.3,9.5,0.3,7.0
1918,Mississippi,AR,0.534,0.43,13075.0,6988.0,5621.0,0.591,0.37,12287.0,7262.0,4542.0,35.76271485,-90.05194370000002,2412.0,69.0,43534.0,21030.0,22504.0,4.0,58.7,35.1,0.0,0.5,0.0,31420.0,36417.0,1718.0,20378.0,908.0,25.6,37.9,22.8,18.0,22.7,11.1,25.3,82.2,14.5,0.3,0.7,1.0,1.3,17.8,17270.0,77.2,16.7,5.9,0.2,11.6
1919,Mississippi,MO,0.697,0.282,5165.0,3600.0,1458.0,0.744,0.248,4756.0,3537.0,1178.0,36.82516239,-89.29505753,464.0,6.0,13916.0,7495.0,6421.0,2.0,71.8,23.9,0.8,0.1,0.0,10797.0,32212.0,2610.0,17918.0,1571.0,31.7,50.9,21.9,23.5,22.7,12.9,19.0,78.0,16.7,0.3,2.1,0.4,2.6,16.5,4796.0,75.4,16.0,8.3,0.3,10.0
1920,Missoula,MT,0.378,0.535,57433.0,21699.0,30740.0,0.366,0.602,71969.0,26336.0,43351.0,47.03728583,-113.92135079999998,2414.0,18.0,114231.0,57590.0,56641.0,3.1,89.8,0.4,2.5,1.4,0.0,90740.0,49412.0,1947.0,29681.0,1069.0,15.9,15.2,39.3,20.2,23.3,9.4,7.8,72.5,8.6,2.1,5.3,5.6,5.9,18.1,61644.0,76.4,16.5,7.0,0.0,6.0
1921,Mitchell,GA,0.544,0.444,7857.0,4272.0,3492.0,0.551,0.446,8963.0,4935.0,3995.0,31.22483255,-84.19381821,850.0,46.0,22574.0,11748.0,10826.0,4.4,46.3,47.5,0.1,0.3,0.1,16796.0,34122.0,3218.0,16088.0,896.0,27.1,39.5,27.2,19.3,21.5,10.4,21.6,77.8,16.4,0.1,2.2,1.7,1.8,23.5,7927.0,74.0,18.7,7.1,0.2,15.2
1922,Mitchell,IA,0.593,0.351,5360.0,3180.0,1879.0,0.632,0.353,5815.0,3677.0,2053.0,43.35638371,-92.78887719,322.0,1.0,10663.0,5288.0,5375.0,1.3,96.8,0.1,0.3,0.6,0.0,8057.0,53675.0,3004.0,27407.0,1744.0,8.3,10.5,29.6,16.0,21.2,12.2,20.9,77.4,5.6,0.1,5.1,2.6,9.2,17.0,5180.0,74.0,14.1,10.9,1.0,3.6
1923,Mitchell,KS,0.785,0.166,2824.0,2216.0,469.0,0.808,0.18,3039.0,2454.0,547.0,39.39331582,-98.20906732,63.0,0.0,6230.0,3199.0,3031.0,2.2,95.6,0.7,0.4,0.5,0.0,4823.0,44591.0,3633.0,26108.0,2013.0,14.8,17.6,39.2,11.5,19.6,16.0,13.7,87.4,4.2,0.2,4.6,1.4,2.3,9.6,2868.0,74.4,14.6,10.7,0.3,3.8
1924,Mitchell,NC,0.783,0.199,7948.0,6225.0,1585.0,0.786,0.207,8960.0,7041.0,1852.0,36.01059309,-82.1582442,247.0,4.0,15155.0,7433.0,7722.0,5.0,92.7,0.3,0.6,0.2,0.0,12042.0,42534.0,2873.0,22302.0,1311.0,15.4,22.5,33.2,17.1,17.6,15.8,16.3,87.1,8.9,0.0,1.3,0.7,1.9,25.6,6199.0,72.6,20.4,6.9,0.1,4.7
1925,Mitchell,TX,0.813,0.161,2190.0,1780.0,353.0,0.841,0.154,2578.0,2169.0,397.0,32.30623474,-100.9212058,202.0,2.0,8774.0,5417.0,3357.0,39.3,48.7,10.3,0.3,0.4,0.0,6669.0,52194.0,3002.0,19741.0,1868.0,7.9,9.0,32.3,19.2,19.9,14.6,14.1,78.4,17.0,0.3,0.8,0.0,3.4,20.2,2801.0,66.5,24.3,8.2,1.0,6.4
1926,Mobile,AL,0.557,0.419,163387.0,91087.0,68429.0,0.553,0.433,181783.0,100605.0,78754.0,30.78472347,-88.20842409,17298.0,322.0,414328.0,197968.0,216360.0,2.8,57.5,35.2,0.6,1.9,0.0,309967.0,45802.0,1034.0,24347.0,428.0,19.3,29.3,32.3,17.7,25.5,9.9,14.7,86.1,7.4,0.5,1.1,0.8,4.1,24.8,173195.0,82.0,13.1,4.6,0.2,7.5
1927,Modoc,CA,0.718,0.238,3359.0,2413.0,798.0,0.703,0.279,3805.0,2675.0,1063.0,41.58965602,-120.7244817,51.0,0.0,9017.0,4659.0,4358.0,14.6,78.0,0.7,4.0,1.1,0.1,6783.0,39296.0,4907.0,22052.0,1610.0,18.1,20.4,36.5,13.4,23.5,18.4,8.3,70.3,7.4,0.5,5.9,0.7,15.1,15.2,3231.0,58.3,29.2,11.9,0.5,7.5
1928,Moffat,CO,0.813,0.134,6510.0,5293.0,874.0,0.808,0.17,6964.0,5627.0,1186.0,40.61810999,-108.2070876,77.0,1.0,13056.0,6772.0,6284.0,14.9,81.4,1.0,0.5,0.1,0.6,9338.0,53010.0,4266.0,27331.0,1685.0,10.1,8.6,27.7,16.9,24.2,20.9,10.3,72.6,17.7,1.1,4.1,1.0,3.6,22.0,6373.0,78.9,15.0,5.4,0.6,3.6
1929,Mohave,AZ,0.737,0.222,74189.0,54656.0,16485.0,0.75,0.237,104667.0,78534.0,24831.0,35.70471703,-113.7577902,4453.0,234.0,204691.0,103175.0,101516.0,15.9,78.0,1.0,2.1,1.2,0.1,160544.0,41567.0,796.0,23527.0,630.0,18.6,27.2,24.3,25.4,26.8,10.9,12.7,79.9,12.6,0.9,1.5,2.1,3.1,20.4,69774.0,78.6,14.1,7.1,0.2,10.1
1930,Moniteau,MO,0.785,0.182,6808.0,5344.0,1237.0,0.803,0.183,7150.0,5738.0,1307.0,38.63571781,-92.57976951,706.0,12.0,15904.0,8350.0,7554.0,4.6,89.7,3.4,0.7,0.0,0.0,11713.0,50897.0,2130.0,21305.0,1138.0,11.9,17.4,29.0,15.5,24.3,11.8,19.4,79.9,12.0,0.6,1.8,2.9,2.9,25.1,6715.0,69.6,23.8,6.4,0.2,5.7
1931,Monmouth,NJ,0.531,0.436,311474.0,165305.0,135825.0,0.507,0.479,359716.0,182304.0,172458.0,40.26549699,-74.22240686,14415.0,873.0,627551.0,305192.0,322359.0,10.6,75.4,6.7,0.1,5.4,0.0,457219.0,91807.0,1342.0,46736.0,562.0,7.6,9.9,44.6,15.5,24.8,7.6,7.5,75.8,7.1,7.9,2.0,2.0,5.2,33.6,314470.0,80.8,13.8,5.3,0.2,6.0
1932,Mono,CA,0.402,0.516,4946.0,1989.0,2551.0,0.373,0.596,6713.0,2504.0,3998.0,37.93899289,-118.8872409,194.0,2.0,14058.0,7433.0,6625.0,27.1,66.1,0.4,2.2,2.0,0.0,9286.0,60595.0,6356.0,30888.0,2023.0,9.9,12.0,37.0,30.3,18.0,7.3,7.3,44.8,7.0,19.7,11.1,8.1,9.3,16.1,7864.0,75.2,15.3,8.3,1.2,3.6
1933,Monona,IA,0.688,0.275,4525.0,3115.0,1244.0,0.689,0.298,4714.0,3248.0,1407.0,42.05220391,-95.95743843,271.0,2.0,8865.0,4388.0,4477.0,0.8,95.2,0.1,2.6,0.2,0.0,7062.0,41598.0,3139.0,26829.0,1811.0,14.9,23.5,29.1,19.5,23.9,14.4,13.1,82.4,7.8,0.0,4.2,0.4,5.2,21.1,4307.0,75.6,13.0,11.3,0.1,3.2
1934,Monongalia,WV,0.512,0.408,35733.0,18278.0,14568.0,0.494,0.482,42072.0,20803.0,20282.0,39.63218457,-80.04766838,2363.0,7.0,103715.0,53632.0,50083.0,2.1,88.3,3.7,0.1,3.3,0.0,83262.0,49624.0,2134.0,29285.0,1064.0,21.3,16.9,45.1,17.6,21.5,8.4,7.4,76.0,8.9,2.6,6.2,1.3,5.1,20.9,49725.0,74.6,21.5,3.8,0.0,6.1
1935,Monroe,AL,0.567,0.423,10185.0,5771.0,4310.0,0.577,0.417,10620.0,6129.0,4425.0,31.56729412,-87.36995001,668.0,10.0,21745.0,10355.0,11390.0,1.3,54.5,40.8,1.3,0.5,0.0,16664.0,26036.0,3726.0,17264.0,1295.0,33.7,43.5,28.7,18.5,20.1,14.2,18.5,91.1,3.6,0.3,1.2,1.1,2.7,24.7,6154.0,75.9,18.9,5.2,0.0,21.6
1936,Monroe,AR,0.504,0.467,2778.0,1400.0,1298.0,0.549,0.407,2815.0,1545.0,1146.0,34.6815935,-91.20540287,230.0,2.0,7420.0,3435.0,3985.0,2.5,54.4,40.8,0.0,0.5,0.0,5861.0,31584.0,3667.0,20486.0,1821.0,28.6,46.6,20.5,23.5,26.2,10.6,19.2,76.9,16.6,0.0,2.3,0.8,3.3,22.0,2954.0,72.4,18.4,9.2,0.0,9.1
1937,Monroe,FL,0.516,0.447,42434.0,21885.0,18949.0,0.534,0.454,48112.0,25688.0,21864.0,25.20904673,-81.07812416,2334.0,25.0,76745.0,40218.0,36527.0,23.5,67.3,6.7,0.1,1.2,0.0,58492.0,63030.0,1692.0,39176.0,1453.0,12.7,16.7,30.8,24.1,26.0,11.2,7.9,69.1,7.7,1.9,4.6,10.8,5.9,17.8,39876.0,77.2,13.5,9.2,0.1,3.7
1938,Monroe,GA,0.696,0.282,12675.0,8821.0,3570.0,0.709,0.281,15592.0,11060.0,4384.0,33.014289,-83.92097166,774.0,55.0,26795.0,13475.0,13320.0,2.4,72.1,23.6,0.1,0.8,0.0,20853.0,50666.0,4524.0,30359.0,5406.0,13.3,10.9,36.8,15.8,24.1,10.2,13.0,85.2,10.1,0.5,0.9,1.1,2.3,26.3,11047.0,73.7,19.9,6.2,0.2,9.4
1939,Monroe,IA,0.685,0.274,3844.0,2635.0,1053.0,0.728,0.264,4085.0,2975.0,1078.0,41.02988815,-92.8690667,280.0,12.0,7912.0,4029.0,3883.0,2.8,93.5,0.1,0.0,0.9,0.0,5883.0,50179.0,6593.0,25929.0,2612.0,10.9,12.3,29.7,21.3,17.0,12.2,19.9,81.8,9.0,0.1,3.4,0.6,5.0,22.4,3780.0,76.7,14.0,9.3,0.0,5.6
1940,Monroe,IL,0.661,0.29,19074.0,12614.0,5522.0,0.668,0.309,21024.0,14046.0,6489.0,38.27594376,-90.17761038,1068.0,32.0,33739.0,16585.0,17154.0,1.5,96.5,0.4,0.1,0.7,0.0,25840.0,74410.0,4039.0,37043.0,1907.0,5.3,5.5,41.1,14.8,24.6,10.1,9.4,84.6,7.3,0.3,1.2,0.7,5.9,28.4,17657.0,83.7,11.9,4.3,0.1,4.4
1941,Monroe,IN,0.356,0.593,57623.0,20527.0,34183.0,0.35,0.632,63020.0,22062.0,39855.0,39.16130004,-86.52414358,3557.0,39.0,144436.0,72005.0,72431.0,3.3,84.1,3.0,0.2,6.3,0.0,113388.0,45689.0,1794.0,26738.0,938.0,24.7,20.2,43.3,19.9,21.6,5.4,9.7,72.5,9.2,3.9,7.4,2.9,4.1,18.7,71839.0,74.1,20.3,5.6,0.0,6.3
1942,Monroe,KY,0.857,0.12,4991.0,4278.0,601.0,0.868,0.123,5330.0,4628.0,657.0,36.71225341,-85.71596443,352.0,4.0,10645.0,5322.0,5323.0,3.0,93.6,2.5,0.0,0.2,0.1,8055.0,35665.0,4562.0,21985.0,2036.0,23.5,35.3,33.4,11.5,18.0,15.4,21.8,82.1,10.0,0.7,0.9,0.5,5.8,23.6,4270.0,70.1,15.0,13.5,1.3,7.7
1943,Monroe,MI,0.584,0.362,74101.0,43255.0,26859.0,0.605,0.378,87148.0,52710.0,32975.0,41.92734151,-83.53749864,2206.0,42.0,149619.0,73905.0,75714.0,3.5,91.5,2.3,0.3,0.6,0.0,115179.0,59479.0,1498.0,29245.0,655.0,11.2,14.8,30.3,17.4,21.2,10.3,20.7,86.3,6.9,1.1,1.1,1.1,3.5,24.5,69205.0,87.3,8.7,3.9,0.1,5.9
1944,Monroe,MO,0.762,0.206,4147.0,3159.0,853.0,0.776,0.208,4467.0,3466.0,931.0,39.49593978,-92.00043978,192.0,2.0,8676.0,4390.0,4286.0,1.6,93.3,3.4,0.1,0.2,0.2,6716.0,42011.0,2100.0,22255.0,1033.0,13.0,22.0,24.6,18.2,24.0,10.5,22.7,80.5,11.5,0.0,1.4,1.5,5.1,25.3,3893.0,78.0,13.8,8.0,0.2,4.5
1945,Monroe,MS,0.64,0.348,15781.0,10107.0,5485.0,0.669,0.316,14461.0,9677.0,4565.0,33.89236763,-88.4808438,1577.0,74.0,35967.0,17148.0,18819.0,1.2,67.0,30.1,0.0,0.2,0.0,27581.0,39444.0,3678.0,21643.0,1114.0,19.2,26.4,26.5,17.0,19.6,10.5,26.5,85.5,10.2,0.2,0.9,0.2,3.0,25.0,14499.0,80.8,13.9,5.1,0.3,7.4
1946,Monroe,NY,0.403,0.544,320164.0,128871.0,174063.0,0.445,0.53,276241.0,122995.0,146403.0,43.14638895,-77.69322942,7705.0,300.0,748680.0,361649.0,387031.0,8.3,71.0,14.5,0.2,3.6,0.0,564372.0,55272.0,680.0,31291.0,357.0,14.8,22.3,42.7,17.6,23.7,5.7,10.2,81.0,7.5,3.1,3.2,1.3,3.8,20.1,367859.0,83.2,12.1,4.6,0.1,6.6
1947,Monroe,OH,0.715,0.246,6686.0,4781.0,1647.0,0.763,0.226,7066.0,5392.0,1597.0,39.72984936,-81.08464734,201.0,18.0,14239.0,7140.0,7099.0,0.5,98.9,0.1,0.0,0.1,0.0,11225.0,43299.0,1915.0,23154.0,1544.0,19.7,34.5,24.2,13.4,23.6,19.8,18.9,83.4,9.5,1.7,3.5,0.3,1.7,33.9,5341.0,79.4,13.4,7.0,0.1,5.9
1948,Monroe,PA,0.481,0.484,65944.0,31706.0,31930.0,0.463,0.525,83499.0,38640.0,43844.0,41.05934058,-75.34031025,2081.0,135.0,167306.0,82610.0,84696.0,14.9,67.6,13.0,0.2,2.2,0.0,127290.0,61430.0,1956.0,27439.0,588.0,11.1,15.7,32.5,20.2,24.5,8.8,14.0,78.5,9.6,4.1,2.1,0.9,4.8,38.6,78341.0,81.2,13.6,5.1,0.1,9.2
1949,Monroe,TN,0.784,0.187,17050.0,13361.0,3184.0,0.807,0.181,20749.0,16742.0,3760.0,35.44550387,-84.24902965,1546.0,29.0,45698.0,22571.0,23127.0,4.2,91.1,1.9,0.9,0.4,0.0,35219.0,36931.0,1711.0,20353.0,1305.0,20.4,31.4,23.4,16.5,20.5,11.7,28.0,86.8,8.6,0.0,1.1,1.4,2.2,28.0,16551.0,82.2,11.0,6.8,0.1,9.3
1950,Monroe,WI,0.585,0.36,19554.0,11442.0,7047.0,0.61,0.374,22564.0,13775.0,8432.0,43.94641218,-90.61881899999999,1267.0,8.0,45303.0,22893.0,22410.0,4.2,91.2,1.5,0.9,0.8,0.0,33266.0,56479.0,1752.0,26724.0,800.0,12.6,19.3,27.8,17.7,22.0,10.8,21.7,82.3,7.7,0.2,3.2,1.9,4.6,19.8,21433.0,72.4,20.3,7.0,0.3,4.7
1951,Monroe,WV,0.765,0.192,5670.0,4337.0,1089.0,0.781,0.207,6490.0,5068.0,1345.0,37.56274716,-80.54577965,266.0,8.0,13517.0,6678.0,6839.0,1.3,96.3,0.6,0.5,0.0,0.0,10791.0,36684.0,3303.0,22830.0,1646.0,17.2,28.7,28.4,15.0,24.3,14.1,18.3,83.3,10.0,0.0,3.4,0.5,2.8,30.1,5215.0,78.5,13.4,8.0,0.0,9.0
1952,Montague,TX,0.875,0.103,8604.0,7526.0,885.0,0.878,0.112,9812.0,8613.0,1097.0,33.67521893,-97.72500958,299.0,6.0,19406.0,9512.0,9894.0,10.7,86.3,0.2,0.3,0.1,0.0,14259.0,46592.0,4160.0,26278.0,1905.0,15.5,21.7,26.0,15.1,22.8,18.9,17.3,83.0,10.3,0.6,1.6,0.4,4.0,24.3,7938.0,81.5,11.3,6.8,0.5,6.6
1953,Montcalm,MI,0.637,0.297,26556.0,16907.0,7874.0,0.68,0.302,32086.0,21815.0,9703.0,43.31082541,-85.15252824,790.0,12.0,62956.0,32441.0,30515.0,3.4,92.0,2.0,0.5,0.5,0.1,48157.0,44651.0,1606.0,21509.0,646.0,17.5,25.3,24.5,16.2,23.2,12.9,23.2,82.2,10.4,0.4,2.0,1.1,3.9,30.0,25787.0,82.4,10.8,6.5,0.3,7.0
1954,Monterey,CA,0.276,0.669,70861.0,19580.0,47387.0,0.278,0.7,155994.0,43439.0,109145.0,36.21862405,-121.24133970000001,11752.0,96.0,433168.0,221016.0,212152.0,57.9,30.6,2.5,0.2,5.6,0.5,231733.0,63249.0,1209.0,27168.0,479.0,14.7,21.6,28.5,20.1,20.2,20.4,10.9,71.1,10.7,1.7,3.1,8.8,4.6,22.4,182439.0,76.6,15.0,8.2,0.2,6.0
1955,Montezuma,CO,0.612,0.309,12706.0,7771.0,3920.0,0.601,0.376,15421.0,9267.0,5802.0,37.33859579,-108.59588570000001,229.0,5.0,25770.0,12664.0,13106.0,12.2,73.1,0.2,11.8,0.1,0.1,19680.0,45645.0,3355.0,24440.0,1046.0,16.8,26.6,31.8,22.4,22.7,12.3,10.7,78.8,8.2,0.1,3.4,1.1,8.5,22.0,11258.0,66.1,21.9,11.7,0.3,5.9
1956,Montgomery,AL,0.359,0.62,94572.0,33928.0,58669.0,0.336,0.651,98476.0,33122.0,64065.0,32.2206831,-86.20969272,10702.0,210.0,227120.0,107470.0,119650.0,3.4,35.2,57.1,0.1,2.4,0.0,167305.0,46545.0,1309.0,26712.0,610.0,20.8,32.1,36.8,18.7,24.5,5.6,14.4,84.8,9.0,0.7,1.4,0.7,3.4,20.3,100874.0,73.7,21.8,4.4,0.1,7.6
1957,Montgomery,AR,0.741,0.212,3471.0,2573.0,735.0,0.787,0.188,3839.0,3021.0,722.0,34.53704874,-93.65824478,188.0,8.0,9059.0,4487.0,4572.0,4.1,90.9,0.3,1.8,1.0,0.0,7139.0,35252.0,3596.0,21480.0,1748.0,18.1,29.4,29.1,18.5,19.3,20.8,12.3,84.9,10.9,0.2,1.4,0.3,2.3,30.0,3248.0,67.3,18.8,13.9,0.0,4.4
1958,Montgomery,GA,0.749,0.238,3560.0,2668.0,847.0,0.746,0.247,3966.0,2960.0,979.0,32.17201038,-82.53527476,377.0,10.0,8962.0,4593.0,4369.0,6.5,64.5,26.0,0.2,0.3,0.0,6655.0,40308.0,2678.0,20114.0,1479.0,19.5,27.0,29.1,19.9,19.7,14.9,16.4,83.7,11.2,0.1,2.3,1.7,1.0,21.3,3511.0,79.1,15.2,5.7,0.0,6.6
1959,Montgomery,IA,0.686,0.263,4998.0,3431.0,1312.0,0.688,0.298,5320.0,3659.0,1583.0,41.03018714,-95.15642896,213.0,7.0,10239.0,4931.0,5308.0,3.6,94.1,0.0,0.4,0.0,0.0,7772.0,43674.0,4866.0,25005.0,1550.0,16.5,27.0,30.4,17.0,22.3,10.6,19.6,79.6,9.5,0.4,4.0,1.6,4.9,19.0,4838.0,74.7,13.1,11.8,0.4,6.7
1960,Montgomery,IL,0.672,0.272,12829.0,8616.0,3490.0,0.694,0.284,13701.0,9504.0,3889.0,39.23198845,-89.47809254,687.0,17.0,29173.0,15199.0,13974.0,1.7,90.9,6.0,0.2,0.1,0.0,23245.0,47807.0,1721.0,23172.0,1645.0,15.6,23.5,34.2,18.1,24.1,9.5,14.1,88.0,4.9,0.7,1.7,0.4,4.3,23.3,10750.0,76.3,16.0,7.6,0.2,5.8
1961,Montgomery,IN,0.732,0.223,15101.0,11051.0,3362.0,0.736,0.245,17197.0,12659.0,4212.0,40.04034823,-86.89335024,736.0,22.0,38288.0,19432.0,18856.0,4.7,92.2,0.8,0.2,0.8,0.0,28672.0,53075.0,1710.0,25519.0,901.0,10.2,14.9,25.6,15.6,21.4,11.3,26.2,83.6,8.6,0.4,4.0,0.8,2.6,21.9,18802.0,85.2,10.4,4.0,0.4,4.4
1962,Montgomery,KS,0.728,0.22,11623.0,8466.0,2557.0,0.741,0.239,13177.0,9768.0,3147.0,37.19236568,-95.74329258,706.0,6.0,33463.0,16580.0,16883.0,6.2,80.1,5.3,3.0,1.0,0.2,24926.0,43977.0,2660.0,22823.0,1014.0,17.5,23.6,29.5,18.3,19.9,10.0,22.3,80.1,10.4,0.0,4.4,2.5,2.6,16.6,14522.0,77.4,15.9,6.4,0.3,5.8
1963,Montgomery,KY,0.686,0.276,11444.0,7856.0,3158.0,0.701,0.283,12837.0,8993.0,3630.0,38.03253032,-83.9145241,571.0,6.0,27550.0,13645.0,13905.0,2.7,93.0,2.8,0.3,0.0,0.1,20681.0,42172.0,2729.0,21371.0,1174.0,23.0,28.8,26.0,15.1,24.8,9.8,24.3,81.7,14.7,0.0,0.7,0.7,2.2,22.8,11384.0,79.7,15.0,5.1,0.3,7.9
1964,Montgomery,MD,0.203,0.759,408300.0,82985.0,309761.0,0.199,0.786,418018.0,83000.0,328413.0,39.13676329,-77.20358245,26114.0,873.0,1039198.0,501571.0,537627.0,19.0,45.0,17.6,0.1,14.7,0.0,653497.0,103178.0,792.0,51162.0,447.0,7.0,9.3,56.1,15.4,18.1,5.7,4.7,65.3,9.8,15.5,2.1,1.4,5.9,34.7,554085.0,72.4,21.5,6.0,0.1,5.4
1965,Montgomery,MO,0.76,0.206,5424.0,4124.0,1118.0,0.772,0.209,5770.0,4457.0,1206.0,38.94022054,-91.47000721,191.0,1.0,11618.0,5798.0,5820.0,1.8,94.4,1.4,0.1,0.1,0.2,8907.0,43094.0,2442.0,21757.0,895.0,16.1,22.7,28.3,18.5,17.6,12.9,22.7,84.9,8.5,0.5,2.6,0.3,3.1,25.8,5012.0,76.0,14.8,9.0,0.2,5.8
1966,Montgomery,MS,0.561,0.426,4162.0,2334.0,1775.0,0.576,0.419,4972.0,2866.0,2084.0,33.49419589,-89.61729103,575.0,23.0,10309.0,4769.0,5540.0,2.3,52.4,42.0,0.0,0.3,0.0,7849.0,34983.0,5834.0,22666.0,3131.0,25.6,44.3,30.6,17.3,20.0,13.7,18.3,89.1,6.6,0.0,0.0,1.8,2.4,27.1,4071.0,67.0,29.1,3.8,0.0,9.1
1967,Montgomery,NC,0.618,0.359,11449.0,7070.0,4108.0,0.654,0.337,12779.0,8363.0,4305.0,35.33155144,-79.90416657,1213.0,38.0,27445.0,13584.0,13861.0,15.4,63.3,18.6,0.2,1.5,0.0,19521.0,38254.0,3424.0,20900.0,1404.0,20.9,30.6,24.7,18.4,16.7,16.1,24.1,86.7,8.6,0.2,0.8,1.1,2.6,24.0,10541.0,76.6,16.0,7.1,0.3,5.9
1968,Montgomery,NY,0.607,0.342,17438.0,10579.0,5961.0,0.653,0.326,17615.0,11500.0,5746.0,42.90123494,-74.44011632,273.0,4.0,49500.0,24352.0,25148.0,13.2,82.6,1.2,0.1,0.7,0.0,37615.0,47449.0,2192.0,25307.0,845.0,19.6,29.6,30.0,18.8,23.9,9.6,17.7,80.5,8.6,1.3,3.6,2.4,3.7,24.5,21956.0,78.3,16.9,4.6,0.3,7.3
1969,Montgomery,OH,0.484,0.471,249560.0,120766.0,117661.0,0.482,0.503,261849.0,126085.0,131592.0,39.75394919,-84.29050975,12156.0,190.0,531987.0,256138.0,275849.0,2.7,71.4,20.5,0.2,2.0,0.0,402538.0,47045.0,686.0,27602.0,355.0,17.9,27.6,37.1,18.8,23.3,6.2,14.7,83.2,7.9,2.3,2.4,1.0,3.2,21.5,241114.0,81.8,13.6,4.5,0.1,8.0
1970,Montgomery,PA,0.376,0.587,427489.0,160803.0,251063.0,0.365,0.625,501561.0,182907.0,313543.0,40.21053671,-75.36652296,14421.0,895.0,818677.0,397990.0,420687.0,4.9,76.6,8.8,0.1,7.3,0.0,605802.0,84791.0,781.0,45048.0,468.0,6.4,7.6,49.8,13.1,23.0,6.2,7.9,78.6,6.6,5.4,2.4,0.8,6.1,28.7,427012.0,86.7,7.7,5.4,0.1,5.2
1971,Montgomery,TN,0.564,0.379,57278.0,32320.0,21686.0,0.55,0.423,76678.0,42156.0,32426.0,36.49609412,-87.38550661,4480.0,61.0,192120.0,96196.0,95924.0,9.7,64.6,18.6,0.5,2.1,0.4,136485.0,53737.0,1433.0,24827.0,632.0,14.2,18.2,32.6,17.9,24.2,9.9,15.5,86.8,6.8,0.9,1.5,1.5,2.6,24.9,77722.0,72.3,22.6,4.9,0.2,7.5
1972,Montgomery,TX,0.74,0.225,203083.0,150188.0,45744.0,0.713,0.274,271175.0,193224.0,74255.0,30.30079133,-95.50572772,14175.0,182.0,535187.0,265034.0,270153.0,23.0,67.9,4.5,0.1,2.8,0.1,352796.0,74323.0,1461.0,38012.0,871.0,10.3,13.9,39.8,15.3,24.0,10.5,10.5,82.1,9.1,1.2,0.9,1.2,5.5,32.7,249640.0,81.1,10.7,8.1,0.1,4.9
1973,Montgomery,VA,0.456,0.469,42695.0,19455.0,20015.0,0.461,0.518,44789.0,20629.0,23218.0,37.17746986,-80.37868691,2958.0,5.0,97692.0,50448.0,47244.0,3.1,83.9,4.3,0.3,6.5,0.0,77245.0,53424.0,1793.0,28277.0,1247.0,23.8,15.5,47.2,19.9,19.6,4.8,8.5,75.2,8.5,4.9,4.8,2.4,4.1,18.7,46955.0,64.6,31.3,3.9,0.1,4.3
1974,Montmorency,MI,0.698,0.257,5008.0,3498.0,1286.0,0.711,0.278,5863.0,4171.0,1628.0,45.0275929,-84.12696227,37.0,0.0,9290.0,4711.0,4579.0,1.3,96.2,0.2,0.8,0.0,0.0,7864.0,39152.0,2044.0,23155.0,1259.0,15.1,23.5,23.9,21.8,23.3,11.2,19.8,84.1,7.6,0.4,1.4,0.9,5.5,29.0,2971.0,77.8,12.5,9.4,0.3,12.7
1975,Montour,PA,0.618,0.334,8535.0,5274.0,2851.0,0.595,0.384,9812.0,5842.0,3768.0,41.03023987,-76.66345939,311.0,11.0,18302.0,8858.0,9444.0,2.5,92.1,1.8,0.0,3.1,0.0,14364.0,56250.0,3159.0,31818.0,1605.0,10.5,16.1,38.0,16.9,22.8,7.9,14.4,81.6,6.0,0.7,6.1,1.4,4.3,19.0,8662.0,86.3,8.7,5.0,0.0,4.4
